date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:25	47991/47991	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202020%2020:15:24%20GMT	https://pwe.gr8.com/	C:/My%20Web%20Sites/Landinprueba/pwe.gr8.com/index.html	(from )
16:15:25	9605/9605	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202020%2020:15:24%20GMT	https://pwe.gr8.com/robots.txt		(from )
16:15:26	2560/2560	---M--	200	added ('OK')	image/png	etag:%221dc09d84-a00%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-57x57.png	(from https://pwe.gr8.com/)
16:15:26	2375/2375	---M--	200	added ('OK')	image/png	etag:%221dc09d84-947%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-60x60.png	(from https://pwe.gr8.com/)
16:15:27	2998/2998	---M--	200	added ('OK')	image/png	etag:%221dc09d84-bb6%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-72x72.png	(from https://pwe.gr8.com/)
16:15:27	3297/3297	---M--	200	added ('OK')	image/png	etag:%221dc09d84-ce1%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-76x76.png	(from https://pwe.gr8.com/)
16:15:27	4322/4322	---M--	200	added ('OK')	image/png	etag:%221dc09d84-10e2%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-114x114.png	(from https://pwe.gr8.com/)
16:15:27	4552/4552	---M--	200	added ('OK')	image/png	etag:%221dc09d84-11c8%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-120x120.png	(from https://pwe.gr8.com/)
16:15:28	5777/5777	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1691%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-144x144.png	(from https://pwe.gr8.com/)
16:15:28	5907/5907	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1713%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-152x152.png	(from https://pwe.gr8.com/)
16:15:28	6961/6961	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1b31%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-180x180.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/apple-touch-icon-180x180.png	(from https://pwe.gr8.com/)
16:15:28	1141/1141	---M--	200	added ('OK')	image/png	etag:%221dc09d84-475%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-32x32.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-32x32.png	(from https://pwe.gr8.com/)
16:15:29	6450/6450	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1932%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-194x194.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-194x194.png	(from https://pwe.gr8.com/)
16:15:29	3185/3185	---M--	200	added ('OK')	image/png	etag:%221dc09d84-c71%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-96x96.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-96x96.png	(from https://pwe.gr8.com/)
16:15:29	7945/7945	---M--	200	added ('OK')	image/png	etag:%221dc09d84-1f09%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/android-chrome-192x192.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/android-chrome-192x192.png	(from https://pwe.gr8.com/)
16:15:29	617/617	---M--	200	added ('OK')	image/png	etag:%221dc09d84-269%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/favicon-16x16.png	(from https://pwe.gr8.com/)
16:15:29	4577/4577	---M--	200	added ('OK')	image/png	etag:%221dc09d84-11e1%22	https://us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/mstile-144x144.png	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/images/squeeze-page/_external/various/favicons/mstile-144x144.png	(from https://pwe.gr8.com/)
16:15:30	925/925	---M-Z	200	added ('OK')	text/css	etag:W/%221dc09d84-39d%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/reset-styles.966123715ae0a33be233.css	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/javascripts/core/lps/dist/reset-styles.966123715ae0a33be233.css	(from https://pwe.gr8.com/)
16:15:30	27536/27536	---M-Z	200	added ('OK')	text/css	etag:W/%221dc09d84-6b90%22	https://us-as.gr-cdn.com/javascripts/core/lps/dist/core-styles.9c25199a979776a4b0f4.css	C:/My%20Web%20Sites/Landinprueba/us-as.gr-cdn.com/javascripts/core/lps/dist/core-styles.9c25199a979776a4b0f4.css	(from https://pwe.gr8.com/)
